name,place,lastEventDate,lastMatchDate,firstMatchDate,topRating,lastRating,matches,fate,fateType,fateTeams
"SOS","Nijmegen","1989-05-21","1989-05-20","1935-11-03",2076.040324061767,1658.9078185134567,705,"Gestopt",end,""
"AVVLO","Appelscha","1989-05-08","1989-05-07","1959-07-05",1487.1246931676544,1223.581906762188,318,"Gestopt",end,""
"Neptunus","IJmuiden","1989-03-06","1989-03-05","1964-09-12",1754.1859892952832,1269.4403315732882,444,"Gestopt",end,""
"DOS (E)","Enschede","1988-09-10","1988-02-28","1912-04-21",2182.7260896536236,1736.194181293922,1221,"Gefuseerd met Wesselerbrink tot DOS-WK",fuse_new,"Wesselerbrink|DOS-WK"
"Wesselerbrink","Enschede","1988-09-10","1987-05-31","1969-04-20",1836.9834480386328,1626.73004250293,128,"Gefuseerd met DOS (E) tot DOS-WK",fuse_new,"DOS (E)|DOS-WK"
"Volt","Tilburg","1988-09-03","1988-05-14","1929-05-05",1763.5958489259913,1394.7718477937897,714,"Gefuseerd met Wandelbos tot Tilburg",fuse_new,"Wandelbos|Tilburg"
"Wandelbos","Tilburg","1988-09-03","1988-05-14","1971-11-28",1707.1195463246622,1432.859694178957,259,"Gefuseerd met Volt tot Tilburg",fuse_new,"Volt|Tilburg"
"Sportief (Rot)","Krimpen aan den IJssel","1988-04-24","1988-04-23","1970-09-13",1578.8689248078038,1433.6949313347986,71,"Gestopt",end,""
"Charlois","Rotterdam","1987-05-18","1987-05-17","1952-09-14",1693.6820519355213,991.4801524278952,417,"Gestopt",end,""
"Blauwe Berg","Hoorn","1987-03-02","1987-03-01","1983-11-27",1537.3598883921475,1245.437548822424,45,"Gestopt",end,""
"Excelsior (U)","Uithuizermeeden","1987-03-02","1987-03-01","1983-11-20",1174.85330537325,885.4155284102226,47,"Gestopt",end,""
"UDI (H)","Havelte","1987-03-02","1987-03-01","1920-08-08",1622.3367617181768,632.2487279063996,384,"Gestopt",end,""
"DES '53","Nijeberkoop","1986-12-08","1986-12-07","1957-05-19",1467.4657731202735,1030.8994808925477,361,"Gestopt",end,""
"L en F","Hilaard","1986-12-08","1986-12-07","1968-12-08",1047.6731717421394,585.770285807315,269,"Gestopt",end,""
"Luxia","Luxwoude","1986-12-08","1986-12-07","1948-08-29",1721.6674740329022,1189.250182886702,631,"Gestopt",end,""
"MI","Gersloot","1986-12-08","1986-12-07","1947-04-27",1411.893599759544,604.7206077523798,261,"Gestopt",end,""
"SSS '70","Marsum","1986-12-08","1986-12-07","1971-11-28",1037.1742372926637,1026.0601223880974,221,"Gestopt",end,""
"AKC (Ak)","Akkrum","1986-11-17","1986-11-16","1949-04-10",1927.8205112832381,1148.179092412052,692,"Gestopt",end,""
"TOV (Fri)","Veenpolder","1986-11-17","1986-11-16","1978-11-19",1071.6832208282044,860.5013324894813,149,"Gestopt",end,""
"Zwaagwesteinde","Zwaagwesteinde","1986-11-10","1986-11-09","1961-04-23",1362.4980994607322,661.3451119502697,247,"Gestopt",end,""
"DSV (B)","Bussum","1986-09-07","1986-06-01","1943-03-07",1889.7230745347806,1791.0016508702329,658,"Gefuseerd met Olympia (B) tot DOC",fuse_new,"Olympia (B)|DOC"
"Olympia (B)","Bussum","1986-09-07","1986-05-25","1925-09-27",1998.640685430983,1651.2880746437293,987,"Gefuseerd met DSV (B) tot DOC",fuse_new,"DSV (B)|DOC"
"MEO","Amsterdam","1986-05-26","1986-05-25","1940-09-29",2047.1974155160563,1273.2141878520663,754,"Gestopt",end,""
"Riko","Rilland","1986-03-03","1986-03-02","1985-11-24",905.283114800458,845.6315797365297,4,"Gestopt",end,""
"Amesia","Termunten","1986-02-17","1986-02-16","1985-12-15",934.4665534655344,803.6797886323385,5,"Gestopt",end,""
"Blauw Wit (Bu)","Burdaard","1985-05-20","1985-05-19","1940-07-14",1630.2535967340912,1244.2208363273098,586,"Gestopt",end,""
"OSK","Oldetrijne","1985-05-20","1985-05-19","1980-11-09",1058.3640680454996,973.1289439123476,76,"Gestopt",end,""
"Raak","Noord","1985-05-20","1985-05-19","1984-09-16",930.9368723075688,572.7914867720029,19,"Gestopt",end,""
"Venlo","Venlo","1985-04-22","1985-04-21","1981-03-29",1322.23928813974,624.1271124685884,17,"Gestopt",end,""
"Boornbergum","Boornbergum","1985-03-04","1985-03-03","1980-08-31",1227.377969432824,803.093800543196,109,"Gestopt",end,""
"Donia","Huisterheide","1985-03-04","1985-03-03","1968-09-29",1570.083469983858,818.6285498608675,274,"Gestopt",end,""
"Schatzenburg","Menaldum","1985-02-25","1985-02-24","1978-11-19",1341.5060271846933,873.6407471211936,135,"Gestopt",end,""
"Iduna","Heerlen","1985-01-21","1985-01-20","1983-09-04",1236.8918349536898,1197.4388421789788,23,"Gestopt",end,""
"DVS (Gld)","Arnhem","1984-05-28","1984-05-27","1983-10-02",1158.9172370146985,1128.3607799479744,12,"Gestopt",end,""
"Elko '70","Elst","1984-05-28","1984-05-27","1974-05-12",1473.6679682486406,1473.6074427835708,15,"Gestopt",end,""
"Centaurea","Wijchen","1984-05-21","1984-05-20","1983-10-02",1491.3309425691407,1314.6077732415697,11,"Gestopt",end,""
"Mercedes","Velp","1984-05-21","1984-05-20","1917-12-16",1626.267154662878,1467.3021955103616,413,"Gestopt",end,""
"Velp","Velp","1984-05-21","1984-05-20","1974-05-12",1461.698375961616,1130.0336428544726,27,"Gestopt",end,""
"KCS","Slotermeer","1984-05-14","1984-05-13","1965-10-31",1672.3834753750016,1315.5579924246654,327,"Gestopt",end,""
"Quick '81","Hengelo","1984-05-07","1984-05-06","1983-10-09",1131.2725744484474,1065.5021744623873,2,"Gestopt",end,""
"Blanckenburgh","Beuningen","1984-04-09","1984-04-08","1983-10-16",1262.6359239702908,1181.5453703101552,4,"Gestopt",end,""
"Druiden","Druten","1984-04-09","1984-04-08","1983-10-16",1093.7378509709176,1093.7378509709176,4,"Gestopt",end,""
"Warmond","Warmond","1984-03-05","1984-03-04","1970-09-06",1504.9047779504301,1215.4790730040831,151,"Gestopt",end,""
"Emma","Den Haag","1984-02-27","1984-02-26","1920-11-07",1910.4490620707675,957.6459892141146,238,"Gestopt",end,""
"Wieen","Venray","1984-02-06","1984-02-05","1982-11-28",1071.2220503539513,1012.8108597606795,14,"Gestopt",end,""
"Sport²","Hoorn","1983-11-27","1983-05-15","1981-11-29",1706.2791258945394,1444.6181033468326,19,"Hernoemd naar Blauwe Berg",rename,"Blauwe Berg"
"Brummen","Brummen","1983-09-18","1975-05-25","1967-04-02",1339.0350521163093,1299.1119672487405,12,"Hernoemd naar Turbulas",rename,"Turbulas"
"De Keien","Noord","1983-05-16","1983-05-15","1979-09-02",914.2068099572537,692.8376513857812,45,"Gestopt",end,""
"ODI (G)","Geleen","1983-05-09","1983-05-08","1956-10-14",1496.9812761584767,1165.6815058367415,160,"Gestopt",end,""
"HPV","Rotterdam","1983-04-25","1983-04-24","1957-10-20",1918.6233305166986,1013.3105618665899,397,"Gestopt",end,""
"Mid Fryslân (W)","Wijtgaard","1983-04-25","1983-04-24","1972-09-10",1186.7842272453695,715.4673382683354,189,"Gestopt",end,""
"Noorderkwartier","Leiden","1983-03-07","1983-03-06","1934-11-11",1532.4766356428286,1172.77735933558,242,"Gestopt",end,""
"FIT","Amsterdam","1981-09-28","1981-09-27","1969-09-07",1483.059133647507,1206.9527894307632,103,"Gestopt",end,""
"Trynwalden","Oentsjerk","1981-09-20","1981-05-17","1946-05-19",1542.0212024819482,1301.727396706292,375,"Hernoemd naar DFD",rename,"DFD"
"Minor","Nuth","1981-05-04","1981-05-03","1979-10-21",1125.5,1032.8391316452353,22,"Gestopt",end,""
"Frisia","Harlingen","1981-03-02","1981-03-01","1917-09-09",1829.534085211664,696.0709097816278,246,"Gestopt",end,""
"DTG (O)","Oude Bildtzijl","1981-02-02","1981-02-01","1969-11-30",1507.132620844876,877.3092080331085,167,"Gestopt",end,""
"Oldensaele","Oldenzaal","1980-12-08","1980-12-07","1980-12-07",903.889426826011,896.1966820692957,1,"Gestopt",end,""
"ODA (B)","Boornbergum","1980-08-31","1980-05-04","1921-07-24",1750.284486346217,1227.377969432824,442,"Hernoemd naar Boornbergum",rename,"Boornbergum"
"Old Hickery","Zuid?","1980-04-21","1980-04-20","1980-01-27",1218.6847479946296,1218.6847479946296,2,"Gestopt",end,""
"Brouwershaven","Brouwershaven","1980-03-03","1980-03-02","1951-04-22",1640.3124260502175,1055.2150485708405,352,"Gestopt",end,""
"OWK (O)","Ouderkerk","1980-03-03","1980-03-02","1943-07-11",1570.5173567467475,969.0324282255317,242,"Gestopt",end,""
"Tilstars","Koosterstille","1980-03-03","1980-03-02","1972-01-16",1018.5528294365903,529.3697667355146,113,"Gestopt",end,""
"ZSC","Scharendijke","1980-03-03","1980-03-02","1963-02-24",1527.2465018636487,1082.7639287681932,201,"Gestopt",end,""
"Germanicus","Coevorden","1979-09-02","1979-05-06","1933-04-30",1292.1403498911552,1181.8542471813946,61,"Hernoemd naar Korvesta",rename,"Korvesta"
"UDI (K)","Klijndijk","1979-09-02","1974-09-08","1913-10-12",1534.9881077793061,1107.9126721406358,76,"Hernoemd naar Udik",rename,"Udik"
"Eurotop","Rotterdam","1979-04-23","1979-04-22","1966-03-06",1313.1794582050768,949.707078107743,30,"Gestopt",end,""
"De Kieviten","Fijnaart","1979-04-09","1979-04-08","1977-10-16",1550.6679515924525,1427.0795958139431,10,"Gestopt",end,""
"Alliance","Roosendaal","1979-03-11","1952-03-16","1951-09-16",1093.6892619541231,999.7700260261765,9,"Hernoemd naar Keep Fit '70",rename,"Keep Fit '70"
"RKC","Rotterdam","1978-10-23","1978-10-22","1971-09-19",1153.574618918468,899.7913125574272,14,"Gestopt",end,""
"Welgelegen","Utrecht","1978-05-08","1978-05-07","1966-09-11",1532.5850380610857,1366.9106756330302,109,"Gestopt",end,""
"Djempol","Zuid?","1977-10-17","1977-10-16","1977-10-09",1019.6144087133391,1015.3457734420181,2,"Gestopt",end,""
"Brielle","Brielle","1977-09-19","1977-09-18","1973-10-14",1089.6113867495383,978.3202101110599,12,"Gestopt",end,""
"Hesco","Schiebroek","1977-09-19","1977-09-18","1966-09-11",1433.4687451565694,1061.0613349928612,98,"Gestopt",end,""
"DFS","Burgh Haamstede","1977-03-07","1977-03-06","1966-01-16",1828.734247774215,1132.383564145563,145,"Gestopt",end,""
"De Zwerfsteen","Roden","1976-09-12","1976-05-09","1969-12-14",1482.7170977717371,1094.093240736407,44,"Gefuseerd met Roko tot Noordenveld",fuse_new,"Roko|Noordenveld"
"Roko","Roden","1976-09-12","1976-05-09","1950-10-29",1600.2068079924456,1159.40277957379,259,"Gefuseerd met De Zwerfsteen tot Noordenveld",fuse_new,"De Zwerfsteen|Noordenveld"
"DOS (B)","Boyl","1976-04-19","1976-04-18","1922-04-23",1556.881066292335,846.9619113364603,181,"Gestopt",end,""
"ONI (A)","Arnhem","1976-04-05","1976-04-04","1957-10-27",1856.2341697989518,1225.5076564223994,233,"Gestopt",end,""
"ADO (H)","Haulerwijk","1976-03-01","1976-02-29","1941-05-11",1698.0441729981899,654.3161059332467,233,"Gestopt",end,""
"DOSKO (N)","Noordwelle","1976-03-01","1976-02-29","1942-09-06",1378.737494879857,802.1519195710056,217,"Gestopt",end,""
"Alcides²","Meppel","1975-09-07","1975-04-27","1968-09-08",1668.1987664554003,1370.123845674493,152,"Hernoemd naar Meko '74",rename,"Meko '74"
"Oostloorn","Heemse","1975-05-26","1975-05-25","1954-09-19",1549.1967896273002,1358.653126297099,253,"Gestopt",end,""
"Animo (Wo)","Wolfheze","1975-05-19","1975-05-18","1972-09-10",1115.4565196351539,1048.338463161773,6,"Gestopt",end,""
"DIO (R)","Rotterdam","1975-05-05","1975-05-04","1970-09-06",1684.3505739625223,1232.1599249503852,47,"Gestopt",end,""
"Oldeboorn","Aldeboarn","1975-03-24","1975-03-23","1965-05-09",1427.5905122259915,811.7738922549033,128,"Gestopt",end,""
"VIOD","Tienhoven","1975-03-03","1975-03-02","1970-09-06",1564.2350343805113,1379.2855210922899,95,"Gestopt",end,""
"SVD (Da)","Dalfsen","1975-02-17","1975-02-16","1974-11-24",1108.1406823446491,1005.8952141851131,11,"Gestopt",end,""
"Blauw Wit (Rot)","Delfshaven","1975-02-10","1975-02-09","1970-08-30",1290.656642250333,1054.0823277135335,44,"Gestopt",end,""
"Markelo³","Markelo³","1974-12-16","1974-12-15","1969-08-31",1082.03439749763,567.4328861821799,16,"Gestopt",end,""
"Ajax","Amsterdam","1974-10-07","1974-10-06","1934-09-16",1742.8930681396128,1563.4080112913555,43,"Gestopt",end,""
"Schiedam","Schiedam","1974-09-01","1974-05-12","1925-10-04",1797.238872312369,1601.4315861504294,604,"Gefuseerd met Spangen tot Harga",fuse_new,"Spangen|Harga"
"Spangen","Rotterdam","1974-09-01","1974-05-05","1926-09-26",2189.5903344506155,1872.5017662114421,798,"Gefuseerd met Schiedam tot Harga",fuse_new,"Schiedam|Harga"
"DDV","Amsterdam","1974-05-27","1974-05-26","1917-11-04",2054.3526387488787,1185.7561762925152,835,"Gestopt",end,""
"KSW","Warten","1974-05-13","1974-05-12","1967-12-10",1811.9351546865614,1607.5129307565394,120,"Gestopt",end,""
"Oosthoek","Haarlem","1974-05-06","1974-05-05","1942-09-13",1747.53859370559,1392.538725973082,172,"Gestopt",end,""
"Swift (Ede)","Ede","1974-03-31","1973-05-13","1970-09-20",1480.9606942460382,1470.8098457341086,30,"Hernoemd naar Reehorst '45",rename,"Reehorst '45"
"Balkbrug","Balkbrug","1974-02-18","1974-02-17","1961-06-04",1247.4246156034715,733.464461002934,23,"Gestopt",end,""
"Houtsnippen","Den Haag","1974-02-04","1974-02-03","1956-10-28",1576.8474002614507,1104.4725900486453,60,"Gestopt",end,""
"SCOZ '71","Noord","1974-01-14","1974-01-13","1972-09-17",964.6679495979319,964.3999690405478,6,"Gestopt",end,""
"VIOS (Nrd)","Noord","1974-01-14","1974-01-13","1971-09-05",911.8910694335666,720.262700665571,11,"Gestopt",end,""
"Sportlust (L)","Leidschendam","1973-11-26","1973-11-25","1970-11-29",1086.631469647055,1005.6317143397094,11,"Gestopt",end,""
"Fluks","Leiden","1973-09-09","1973-05-05","1911-10-15",2061.7654899107815,1729.8744090905684,904,"Gefuseerd met Vicus Orientis tot Fides Pacta",fuse_new,"Vicus Orientis|Fides Pacta"
"Vicus Orientis","Leiden","1973-09-09","1973-05-12","1934-10-21",2177.913115458124,2047.9056828976052,673,"Gefuseerd met Fluks tot Fides Pacta",fuse_new,"Fluks|Fides Pacta"
"KVS (So)","Soest","1973-09-09","1958-03-30","1953-05-03",1302.4350581888407,1212.3038344411025,7,"Opgegaan in KVO (S)",merge_into,"KVO (S)"
"Rotterdam Zuid","Rotterdam","1973-05-21","1973-05-20","1970-08-30",1737.134680349813,1556.7846370102923,76,"Gestopt",end,""
"Be Quick (Z)","Zwolle","1973-04-30","1973-04-29","1952-09-28",1732.6796268105957,1300.6621435942766,221,"Gestopt",end,""
"Delta","Ooltgensplaat","1973-02-26","1973-02-25","1965-04-25",1520.1871134107635,1378.8690736859937,118,"Gestopt",end,""
"Terwolde","Terwolde","1972-11-06","1972-11-05","1967-04-02",1404.481807774711,1141.623732230971,6,"Gestopt",end,""
"HDK","Amsterdam","1972-10-30","1972-10-29","1971-08-29",1399.0102529215662,1295.8534296475098,2,"Gestopt",end,""
"KVTO²","Amsterdam","1972-10-30","1972-10-29","1972-10-29",1104.2029604833463,1100.4249371432718,1,"Gestopt",end,""
"Tuindorp","Deventer","1972-10-23","1972-10-22","1957-10-20",1288.648427399581,1041.3027854795762,31,"Gestopt",end,""
"SOS '60","Muntendam","1972-10-09","1972-10-08","1960-09-25",1712.0191799936697,1488.7560701855523,181,"Gestopt",end,""
"Odilo","Eindhoven","1972-09-02","1972-04-30","1934-10-21",1787.8216124395763,1479.8561205698863,423,"Opgegaan in Rust Roest (E)",merge_into,"Rust Roest (E)"
"TOP (Ro)","Rotterdam","1972-05-22","1972-05-21","1970-08-30",1573.6146733979097,1342.9609877969244,45,"Gestopt",end,""
"Swift '66","Eibergen","1972-04-17","1972-04-16","1966-11-13",1507.0005759018022,1348.2721563186847,24,"Gestopt",end,""
"NOK","Nije- en Oudemirdum","1972-04-10","1972-04-09","1966-04-24",1286.7355558564802,1108.5059296951868,24,"Gestopt",end,""
"SVN²","Naaldwijk","1972-04-10","1972-04-09","1970-10-18",1504.2676506732869,1256.306081862424,14,"Gestopt",end,""
"WIK (K)²","Kerkwerve","1972-03-13","1972-03-12","1942-07-12",1637.0385077370267,1137.0527659310883,288,"Gestopt",end,""
"SVK (K)","Koosterstille","1972-01-16","1970-03-15","1965-06-27",1107.1568374084163,1018.5528294365903,21,"Hernoemd naar Tilstars",rename,"Tilstars"
"Orion","Afd Zuid","1971-11-29","1971-11-28","1971-09-12",1113.0987686028127,1100.118353445209,2,"Gestopt",end,""
"Postiljons","Ten Post","1971-11-08","1971-11-07","1969-12-14",1219.7664935437683,1051.651646258716,17,"Gestopt",end,""
"SPO","De Pollen","1971-10-04","1971-10-03","1968-09-29",977.6646022104289,977.0703162161194,10,"Gestopt",end,""
"DTS (D)","Dorwerth","1971-08-29","1971-05-16","1970-09-27",1409.5055424273623,1408.251763846759,5,"Opgegaan in DKOD",merge_into,"DKOD"
"Amstelodamum","Amsterdam","1971-08-29","1970-04-19","1920-09-19",1945.2245278967664,1399.0102529215662,366,"Hernoemd naar HDK",rename,"HDK"
"DES (S)","Sirjansland","1971-06-21","1971-06-20","1939-04-09",1512.7896214850791,1169.2816316725493,207,"Gestopt",end,""
"Wordt Kwiek","Amsterdam","1971-05-17","1971-05-16","1967-11-16",1514.391357551145,1265.7559467702486,28,"Gestopt",end,""
"Hermes (G)","Groningen","1971-05-03","1971-05-02","1930-03-23",2035.5801259915909,1511.9497680755806,563,"Gestopt",end,""
"Animo Ready","Haarlem","1971-04-26","1971-04-25","1941-10-19",1858.0360755815698,1563.9706708811673,366,"Gestopt",end,""
"Wez Fluch (R)","Reitsum","1971-03-29","1971-03-28","1969-12-07",920.3639683074196,890.2936453784922,12,"Gestopt",end,""
"Fluks (OB)","Oud Beijerland","1971-03-01","1971-02-28","1970-11-29",959.2391575383257,959.2391575383257,5,"Gestopt",end,""
"IJsvogels","Den Haag","1971-02-22","1971-02-21","1970-08-30",1521.5,1441.2832288423735,17,"Gestopt",end,""
"Meeuwen (P Fri)","(Friesland)","1970-09-28","1970-09-27","1970-09-06",1137.3396971930556,1122.8094091716564,3,"Gestopt",end,""
"SDO (Fri)","(Friesland)","1970-09-28","1970-09-27","1970-09-13",1248.8924141200537,1239.6800710656676,3,"Gestopt",end,""
"KVL","Lammerenburg","1970-09-13","1970-05-03","1951-03-04",1357.0073165993877,1213.5559131533423,120,"Gefuseerd met VEDO tot Seolto",fuse_new,"VEDO|Seolto"
"VEDO","Vlissingen","1970-09-13","1970-06-07","1955-06-12",1673.5900600369189,1302.7115858693055,148,"Gefuseerd met KVL tot Seolto",fuse_new,"KVL|Seolto"
"Rapid (D)","Delfzijl","1970-09-06","1968-04-28","1967-05-14",1415.2503489890576,1256.1641318415134,8,"Hernoemd naar Roda '70",rename,"Roda '70"
"KVS (Noord)","Smilde","1970-08-31","1970-08-30","1970-08-30",987.583680532389,947.2029637066433,1,"Gestopt",end,""
"TOP (P)","Pesse","1970-08-30","1966-05-08","1934-06-17",1391.5125236260799,1059.583680532389,14,"Hernoemd naar Niek",rename,"Niek"
"WTEF","Mantgum","1970-08-30","1970-03-08","1950-04-02",1462.4877530423526,894.5278916448348,96,"Gefuseerd met Wardy tot WWC",fuse_new,"Wardy|WWC"
"Wardy","Wieuwerd","1970-08-30","1970-03-01","1938-05-15",1677.1402270227268,1020.4159779427092,149,"Gefuseerd met WTEF tot WWC",fuse_new,"WTEF|WWC"
"SDO (SAJ)","Sint Philipsland","1970-08-03","1970-08-02","1966-01-16",1093.5642711998123,992.4194782618281,16,"Gestopt",end,""
"SVS","Scharnegoutum","1970-05-25","1970-05-24","1959-06-07",1701.6957684963872,1559.935336517956,132,"Gestopt",end,""
"Ahoy","Rotterdam","1970-04-27","1970-04-26","1954-10-17",1581.582995464777,1509.0973258183512,195,"Gestopt",end,""
"OBZB","Amsterdam","1970-04-27","1970-04-26","1934-11-04",1903.488133093465,1495.5749173568597,402,"Gestopt",end,""
"Animo (W)","Westerlee","1970-03-16","1970-03-15","1943-04-11",1510.7769411968293,1013.6571709245939,155,"Gestopt",end,""
"Bergum","Burgum","1970-03-16","1970-03-15","1966-03-27",1877.5306123189216,1367.4046821966056,46,"Gestopt",end,""
"Tijnje","Tijnje","1970-03-16","1970-03-15","1922-07-16",1683.4774055427376,941.6135355106012,130,"Gestopt",end,""
"DKC (Fri)","(Friesland)","1970-03-09","1970-03-08","1970-01-04",1017.0849228592058,930.9312682223483,4,"Gestopt",end,""
"Quick (O)","Oldenzaal","1970-03-02","1970-03-01","1945-11-11",1773.8314862801042,1348.9188199221671,158,"Gestopt",end,""
"Rijssen","Rijssen","1970-03-02","1970-03-01","1967-10-08",920.2069409372708,865.8505878133658,14,"Gestopt",end,""
"Drogeham","Drogeham","1970-02-23","1970-02-22","1952-09-14",1632.7483168793729,1626.7878492705102,20,"Gestopt",end,""
"DIO (R Fri)","(Friesland)","1970-02-16","1970-02-15","1969-11-23",1440.3848189685264,1440.2747431855173,6,"Gestopt",end,""
"OKC (Old)","Oldenzaal","1969-12-14","1969-02-02","1955-10-23",1659.6955337571312,1322.3846216479337,54,"Opgegaan in Quick (O)",merge_into,"Quick (O)"
"DOAC","Rotterdam","1969-09-29","1969-09-28","1969-09-28",900.0,864.0803704783549,1,"Gestopt",end,""
"UDI (T)","Tolbert","1969-09-07","1969-05-04","1920-08-01",1679.2402606830037,1469.0517845926604,271,"Gefuseerd met UNA (L) tot Rodenburg",fuse_new,"UNA (L)|Rodenburg"
"UNA (L)","Leek","1969-09-07","1969-03-23","1920-08-01",1736.1494881265444,1394.7004277592,378,"Gefuseerd met UDI (T) tot Rodenburg",fuse_new,"UDI (T)|Rodenburg"
"WWNA","Apeldoorn","1969-08-31","1969-05-25","1952-09-28",1704.697613632865,1694.5836622434185,54,"Hernoemd naar Apollo '69",rename,"Apollo '69"
"Paasberg","Terborg","1969-03-17","1969-03-16","1966-11-13",1102.670821586733,1015.7879448104429,12,"Gestopt",end,""
"Thor (D)","Dirksland","1969-03-17","1969-03-16","1933-04-23",1487.8248067034974,1217.5861995005703,75,"Gestopt",end,""
"MKF","Wanswerd","1969-02-17","1969-02-16","1968-12-01",1065.9520533353577,1028.5572220472511,7,"Gestopt",end,""
"Ando","Aalten","1969-02-10","1969-02-09","1967-09-03",1251.394872867332,1030.4814529451767,9,"Gestopt",end,""
"ODS (L)","Leeuwarden","1969-02-10","1969-02-09","1954-09-12",1505.8226425906657,980.5002012810894,38,"Gestopt",end,""
"ELTO (B)","Biezelinge","1968-11-11","1968-11-10","1945-05-27",1790.2703108875469,1144.8983044086408,197,"Gestopt",end,""
"Colwidum","Koudum","1968-11-04","1968-11-03","1964-04-26",1004.3125533009301,684.9500155237887,12,"Gestopt",end,""
"MKC (Me)","Meppel","1968-09-08","1968-04-07","1917-10-28",1766.7260519973006,1364.6973292804375,364,"Hernoemd naar Alcides²",rename,"Alcides²"
"Rohda (H)","Hoogezand","1968-09-01","1968-04-21","1933-03-26",1773.5693784186117,1273.6346607091104,353,"Gefuseerd met UNI (S) tot Goorecht",fuse_new,"UNI (S)|Goorecht"
"UNI (S)","Sappemeer","1968-09-01","1968-04-21","1930-03-23",1712.088418951799,1547.14898488059,371,"Gefuseerd met Rohda (H) tot Goorecht",fuse_new,"Rohda (H)|Goorecht"
"Merwede (D)","Dordrecht","1968-09-01","1968-05-19","1931-10-11",1842.905439592077,1573.1004660828978,370,"Hernoemd naar Merwic",rename,"Merwic"
"Actief (V)","Vroomshoop","1968-09-01","1968-03-17","1945-11-11",1436.1384570911914,1228.8244950517615,112,"Opgegaan in TOP (V)",merge_into,"TOP (V)"
"NIKO","Nieuwe Tonge","1968-07-01","1968-06-30","1966-05-08",1088.9317718814782,905.5940455830743,9,"Gestopt",end,""
"Racing Amsterdam","Amsterdam","1968-05-06","1968-05-05","1966-09-11",1876.8152928893867,1718.5076034280776,30,"Gestopt",end,""
"DOP","Rotterdam","1968-04-01","1968-03-31","1957-10-20",1445.8645127518976,955.4678077523778,39,"Gestopt",end,""
"Velocitas (Se)","Serooskerke","1968-01-29","1968-01-28","1941-06-08",1511.4291175067178,1079.9870271266982,262,"Gestopt",end,""
"ADO '64","Melissant","1967-10-02","1967-10-01","1966-05-01",1274.5494893571101,975.7311554483168,6,"Gestopt",end,""
"Unitas (Z)","Zierikzee","1967-08-27","1966-03-27","1951-05-27",1574.219151518505,1360.2424940377518,236,"Hernoemd naar All-Ready",rename,"All-Ready"
"Itens","Itens","1967-08-21","1967-08-20","1958-05-04",1096.97210363022,639.9464875025741,29,"Gestopt",end,""
"Pax","Gelderland","1967-04-10","1967-04-09","1967-04-09",948.2584572716345,948.2584572716345,1,"Gestopt",end,""
"Ajax (R)","Rotterdam","1967-03-13","1967-03-12","1962-09-16",1293.87275785838,1215.5476492288378,14,"Gestopt",end,""
"DOS (N)²","Nieuwdorp","1967-02-13","1967-02-12","1943-04-11",1311.8997066414684,995.354289819564,73,"Gestopt",end,""
"Wapse","Wapse","1966-11-28","1966-11-27","1962-04-29",1367.597530858514,1231.3505358725172,12,"Gestopt",end,""
"Fit '65","Waddinxveen","1966-09-19","1966-09-18","1966-05-22",1164.2683134685262,1143.7429148889066,2,"Gestopt",end,""
"Schiebroek","Schiebroek","1966-09-11","1966-05-22","1963-03-24",1629.3112642619453,1327.4488124978454,57,"Hernoemd naar Hesco",rename,"Hesco"
"Blauwe Treffers","Spijkenisse","1966-09-11","1966-05-15","1965-09-19",1456.0403916774799,1332.8287377737329,13,"Hernoemd naar Olympia (S)",rename,"Olympia (S)"
"WTOC","Oudwoude","1966-06-27","1966-06-26","1965-05-02",1152.8114871714838,959.9202388286324,7,"Gestopt",end,""
"Asenco","(Friesland)","1966-06-20","1966-06-19","1960-09-25",1093.5893806831361,973.0794844106867,19,"Gestopt",end,""
"Dosko","Bergen op Zoom","1966-05-30","1966-05-29","1964-09-20",1347.8324311809351,1195.358863463161,22,"Gestopt",end,""
"De Poel","'s-Heer Abtskerke","1966-05-23","1966-05-22","1943-04-04",1554.6792034601901,1072.9281076573752,187,"Gestopt",end,""
"Oisterwijk","Oisterwijk","1966-05-09","1966-05-08","1948-09-12",1500.702887695662,922.58124433049,85,"Gestopt",end,""
"Stormvogels (G)","Geleen","1966-05-09","1966-05-08","1956-10-14",1580.0910381540061,1482.0004512047346,62,"Gestopt",end,""
"ADO (M)","Melissant","1966-05-01","1936-07-05","1932-12-26",1340.9546279411802,1274.5494893571101,32,"Hernoemd naar ADO '64",rename,"ADO '64"
"Noord Oosten","Groningen","1966-02-28","1966-02-27","1935-06-02",1959.2084034110721,990.5406562527044,294,"Gestopt",end,""
"Renesse","Renesse","1966-02-21","1966-02-20","1954-05-02",1597.040900428516,1049.957039501982,83,"Gestopt",end,""
"Burgh","Burgh","1966-01-16","1965-07-11","1950-04-02",1835.11210948297,1804.9424897505492,262,"Gefuseerd met Zeemeeuwen tot DFS",fuse_new,"Zeemeeuwen|DFS"
"Zeemeeuwen","Haamstede","1966-01-16","1965-07-04","1949-03-27",1681.3387480839792,1310.727214340572,252,"Gefuseerd met Burgh tot DFS",fuse_new,"Burgh|DFS"
"EMOS","Vledder","1965-10-18","1965-10-17","1958-06-08",1742.2446991693107,1162.4223275839752,7,"Gestopt",end,""
